iter	RMSE
0	106.0570489
1	104.5511217
2	103.1579555
3	101.8722304
4	100.6863844
5	99.68682097
6	98.68070294
7	97.7143009
8	96.87947776
9	96.09675191
10	95.36853839
11	94.71701867
12	94.10705998
13	93.5504265
14	93.03801247
15	92.55468217
16	92.15440217
17	91.7476359
18	91.42137245
19	91.08850145
20	90.78925547
21	90.53446219
22	90.26870367
23	90.0464298
24	89.82704466
25	89.63380464
26	89.43215093
27	89.25596299
28	89.10214314
29	88.9499794
30	88.80909717
31	88.68827178
32	88.57775999
33	88.47290672
34	88.3698419
35	88.2722991
36	88.18778717
37	88.0930878
38	88.02202905
39	87.95009326
40	87.87632371
41	87.81383862
42	87.74899141
43	87.69022527
44	87.62571031
45	87.56581556
46	87.49857468
47	87.43236933
48	87.38449289
49	87.33617458
50	87.30902482
51	87.27593579
52	87.23106427
53	87.19323701
54	87.13756015
55	87.10703184
56	87.05549428
57	87.03819735
58	86.9865242
59	86.93820739
60	86.8861157
61	86.8418759
62	86.83055537
63	86.78808911
64	86.74288039
65	86.7089136
66	86.68066758
67	86.64156537
68	86.56708953
69	86.53563392
70	86.51160391
71	86.479338
72	86.45728508
73	86.43197288
74	86.40748397
75	86.36361283
76	86.34961592
77	86.30931949
78	86.28672542
79	86.26215557
80	86.23702567
81	86.18139596
82	86.13961121
83	86.11826165
84	86.10067104
85	86.08004054
86	86.05001846
87	86.01238384
88	85.99845398
89	85.94661922
90	85.90150286
91	85.87737697
92	85.84825323
93	85.80765505
94	85.79071058
95	85.77413331
96	85.75417137
97	85.73262266
98	85.68888372
99	85.6577725
