iter	Passed	Remaining
0	3	300
1	5	293
2	8	278
3	11	266
4	14	272
5	17	267
6	20	267
7	22	257
8	24	249
9	26	240
10	29	236
11	31	233
12	34	231
13	37	229
14	40	227
15	43	226
16	45	224
17	48	219
18	50	215
19	52	211
20	55	207
21	57	202
22	59	197
23	61	193
24	62	188
25	64	184
26	66	180
27	68	177
28	70	173
29	73	170
30	75	168
31	77	165
32	80	162
33	82	160
34	85	158
35	87	156
36	90	154
37	92	151
38	95	149
39	98	147
40	101	146
41	104	144
42	106	141
43	109	139
44	111	136
45	114	134
46	116	131
47	118	128
48	121	126
49	124	124
50	126	121
51	128	119
52	131	116
53	133	113
54	135	111
55	137	108
56	139	105
57	142	102
58	144	100
59	147	98
60	150	96
61	153	94
62	155	91
63	157	88
64	161	86
65	164	84
66	167	82
67	169	79
68	172	77
69	174	74
70	177	72
71	180	70
72	182	67
73	184	64
74	186	62
75	188	59
76	191	57
77	194	54
78	196	52
79	199	49
80	201	47
81	203	44
82	206	42
83	209	39
84	211	37
85	213	34
86	215	32
87	217	29
88	220	27
89	223	24
90	226	22
91	228	19
92	231	17
93	234	14
94	236	12
95	239	9
96	241	7
97	244	4
98	246	2
99	249	0
